epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,96.8251,1.33741,2.3494,1.82145,0.00183,0.55,0.17705,0.02878,3.52116,4.26071,3.65681,0.00042,0.00042,0.00042
2,198.108,1.19437,1.69975,1.62679,0.39529,0.6,0.37552,0.13331,1.78918,3.05553,3.19861,0.00083162,0.00083162,0.00083162
3,273.02,1.12315,1.53803,1.56406,0.40295,0.25,0.23555,0.11188,2.47533,3.74136,3.19236,0.0012142,0.0012142,0.0012142
4,396.27,1.22605,1.55283,1.61882,0.57055,0.65,0.54758,0.22908,2.07993,3.16644,3.08659,0.00156774,0.00156774,0.00156774
5,536.649,1.14166,1.45539,1.58324,0.72989,0.85,0.75439,0.38804,2.26761,4.03399,5.57924,0.001736,0.001736,0.001736
6,614.306,1.12419,1.35742,1.61749,0.67379,0.9,0.85425,0.36992,2.14305,3.83801,4.48352,0.00167,0.00167,0.00167
7,685.856,1.07614,1.31513,1.53421,0.94231,1,0.97595,0.48244,1.68783,2.22388,3.2484,0.001604,0.001604,0.001604
8,837.726,1.08723,1.29556,1.5665,0.98214,1,0.995,0.51656,1.4936,1.92352,2.6052,0.001538,0.001538,0.001538
9,987.532,1.12415,1.20079,1.60889,0.84234,0.85,0.87413,0.53528,1.3089,1.59322,2.23331,0.001472,0.001472,0.001472
10,1128.22,1.07425,1.16451,1.52304,0.71828,0.8,0.70471,0.3937,1.37364,2.03446,2.31515,0.001406,0.001406,0.001406
11,1222.29,1.09109,1.20683,1.55501,0.76834,0.9952,0.93528,0.55681,1.19925,2.23035,2.07759,0.00134,0.00134,0.00134
12,1342.23,0.99375,1.05945,1.47288,1,0.94446,0.95564,0.60059,1.12028,1.31772,2.05156,0.001274,0.001274,0.001274
13,1495.78,1.00654,1.11413,1.48124,0.8215,0.65,0.7684,0.37406,1.4213,1.97541,2.3278,0.001208,0.001208,0.001208
14,1634.75,0.99109,1.09264,1.45746,0.50678,0.6,0.54922,0.22036,1.28701,2.17204,2.26155,0.001142,0.001142,0.001142
15,1778.9,0.96954,1.03086,1.44221,0.68728,0.7,0.78576,0.37668,1.19389,1.96616,2.08356,0.001076,0.001076,0.001076
16,1871.64,0.97537,0.97411,1.4213,0.92055,0.7,0.86285,0.54125,1.11617,1.65295,1.99555,0.00101,0.00101,0.00101
17,1946.26,0.98863,0.9523,1.47506,0.97453,0.95,0.97441,0.65211,1.14994,1.13761,1.94909,0.000944,0.000944,0.000944
18,2043.5,1.00757,1.0691,1.46517,0.70928,0.73249,0.78621,0.43905,1.32341,1.55877,2.16601,0.000878,0.000878,0.000878
19,2152.28,0.96393,0.99895,1.43756,0.95723,0.7,0.86105,0.49278,1.42718,1.63772,2.35012,0.000812,0.000812,0.000812
20,2271.56,0.94474,0.97755,1.40765,0.98612,1,0.995,0.53623,1.66369,1.10455,2.88627,0.000746,0.000746,0.000746
21,2362.39,1.02917,1.28573,1.71027,0.94789,1,0.98548,0.56148,1.51939,1.1959,2.61331,0.00068,0.00068,0.00068
22,2449.76,0.87383,1.18514,1.53917,0.90326,0.9342,0.97119,0.62791,1.27203,1.12947,2.25864,0.000614,0.000614,0.000614
23,2526.87,0.87723,1.0634,1.5224,0.9504,0.95833,0.99262,0.65078,1.2175,1.18128,2.22526,0.000548,0.000548,0.000548
24,2612.72,0.859,1.0786,1.56757,0.9425,0.95,0.96875,0.59456,1.30786,1.10432,2.35604,0.000482,0.000482,0.000482
25,2689.16,0.82459,1.03016,1.54802,1,0.83933,0.94276,0.61755,1.28108,1.20169,2.20722,0.000416,0.000416,0.000416
26,2766.13,0.87333,1.03474,1.54973,0.93478,0.85,0.9617,0.63884,1.19633,1.18404,2.11501,0.00035,0.00035,0.00035
27,2841.74,0.82727,0.975,1.51399,1,0.83707,0.9612,0.60626,1.23217,1.19975,2.18735,0.000284,0.000284,0.000284
28,2917.95,0.76154,0.91542,1.483,1,0.84133,0.96263,0.60113,1.2532,1.24296,2.21865,0.000218,0.000218,0.000218
29,2992.97,0.76971,0.90545,1.459,0.99608,0.85,0.9662,0.60872,1.22152,1.2746,2.12652,0.000152,0.000152,0.000152
30,3068.22,0.74945,0.89887,1.44998,0.9963,0.85,0.97136,0.5923,1.18836,1.31649,2.0816,8.6e-05,8.6e-05,8.6e-05
